,Car_Price,Car_Year,Car_Kms,Car_Model,Car_Fuel,Car_Location,Car_Company
5983,475000,2015,29390,Volkswagen Polo Highline1.2L (P),Petrol,Mumbai,Volkswagen
5984,749000,2017,28771,Honda WR-V VX MT Petrol,Petrol,Mumbai,Honda
5985,340000,2013,44380,Hyundai Grand i10 Sportz 1.2 Kappa VTVT ,Petrol,Mumbai,Hyundai
5986,265000,2010,24000,Maruti Suzuki Ritz VXI BS-IV,Petrol,Mumbai,Maruti Suzuki
5987,925000,2012,74460,BMW 3 Series 320d Prestige,Diesel,Mumbai,BMW
5988,675000,2016,58000,Skoda Rapid Style 1.5 TDI AT,Diesel,Mumbai,Skoda
5989,685000,2016,69380,Honda City V Diesel,Diesel,Mumbai,Honda
5990,445000,2016,39500,Maruti Suzuki Celerio VXi AMT ABS,Petrol,Mumbai,Maruti Suzuki
5991,4550000,2017,42442,Mercedes-Benz GLE 250 d,Diesel,Mumbai,Mercedes-Benz
5992,215000,2016,2814,Tata Nano Twist XT,Petrol,Mumbai,Tata
5993,1550000,2011,107000,Audi Q7 3.0 TDI quattro Premium Plus,Diesel,Mumbai,Audi
5994,1900000,2021,3000,Mahindra Thar LX 4-STR Hard Top Petrol AT,Petrol,Mumbai,Mahindra
5995,645000,2015,44000,Ford EcoSport Titanium 1.5L Ti-VCT AT,Petrol,Mumbai,Ford
5996,1125000,2019,19000,Maruti Suzuki Ertiga ZDi Plus 1.5 Diesel,Diesel,Mumbai,Maruti Suzuki
5997,1295000,2012,80000,BMW 3 Series 320d Luxury Line,Diesel,Mumbai,BMW
5998,951000,2016,19511,Hyundai Creta 1.6 SX Plus Petrol,Petrol,Thane,Hyundai
5999,4195000,2017,25000,Mercedes-Benz E-Class E 220d Expression ,Diesel,Mumbai,Mercedes-Benz
6000,485000,2014,65327,Volkswagen Vento TSI,Petrol,Mumbai,Volkswagen
6001,1699000,2018,98000,Toyota Innova Crysta 2.8 GX AT 7 STR ,Diesel,Mumbai,Toyota
6002,1245001,2015,80000,Toyota Innova 2.5 ZX BS III 7 STR,Diesel,Mumbai,Toyota
6003,735000,2016,98000,Maruti Suzuki S-Cross Sigma 1.3,Diesel,Mumbai,Maruti Suzuki
6004,775000,2018,16000,Honda Jazz VX CVT Petrol,Petrol,Mumbai,Honda
6005,675000,2018,19976,Maruti Suzuki Baleno Zeta 1.2,Petrol,Mumbai,Maruti Suzuki
6006,390000,2012,117000,Renault Duster 110 PS RxZ Diesel,Diesel,Mumbai,Renault
6007,565000,2017,44329,Hyundai Grand i10 Sportz (O) AT 1.2 Kappa VTVT ,Petrol,Mumbai,Hyundai
6008,510000,2015,48286,Maruti Suzuki Swift Dzire ZXI,Petrol,Mumbai,Maruti Suzuki
6009,749000,2018,24975,Honda WR-V S MT Petrol,Petrol,Mumbai,Honda
